aiport,period,date,value,countryCod,airpCod,countryDesc,airpDesc
ES_LEBL,2019-01,01/01/2019,23971,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2019-02,01/02/2019,22677,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2019-03,01/03/2019,25935,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2019-04,01/04/2019,29739,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2019-05,01/05/2019,31102,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2019-06,01/06/2019,32020,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2019-07,01/07/2019,33191,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2019-08,01/08/2019,32645,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2019-09,01/09/2019,32091,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2020-01,01/01/2020,23402,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2020-02,01/02/2020,22954,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2020-03,01/03/2020,13812,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2020-04,01/04/2020,1488,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2020-05,01/05/2020,1763,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2020-06,01/06/2020,2727,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2020-07,01/07/2020,10380,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2020-08,01/08/2020,14042,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2020-09,01/09/2020,10564,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEMD,2019-01,01/01/2019,32905,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
ES_LEMD,2019-02,01/02/2019,30187,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
ES_LEMD,2019-03,01/03/2019,34255,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
ES_LEMD,2019-04,01/04/2019,34827,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
ES_LEMD,2019-05,01/05/2019,37215,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
ES_LEMD,2019-06,01/06/2019,37962,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
ES_LEMD,2019-07,01/07/2019,38969,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
ES_LEMD,2019-08,01/08/2019,37139,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
ES_LEMD,2019-09,01/09/2019,37292,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
ES_LEMD,2020-01,01/01/2020,33292,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
ES_LEMD,2020-02,01/02/2020,31475,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
ES_LEMD,2020-03,01/03/2020,19832,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
ES_LEMD,2020-04,01/04/2020,2511,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
ES_LEMD,2020-05,01/05/2020,2991,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
ES_LEMD,2020-06,01/06/2020,3747,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
ES_LEMD,2020-07,01/07/2020,10706,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
ES_LEMD,2020-08,01/08/2020,15404,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
ES_LEMD,2020-09,01/09/2020,12406,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
FR_LFPG,2019-01,01/01/2019,38518,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle
FR_LFPG,2019-02,01/02/2019,35711,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle
FR_LFPG,2019-03,01/03/2019,40627,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle
FR_LFPG,2019-04,01/04/2019,43225,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle
FR_LFPG,2019-05,01/05/2019,44408,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle
FR_LFPG,2019-06,01/06/2019,44799,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle
FR_LFPG,2019-07,01/07/2019,47508,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle
FR_LFPG,2019-08,01/08/2019,47756,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle
FR_LFPG,2019-09,01/09/2019,45616,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle
FR_LFPG,2020-01,01/01/2020,37766,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle
FR_LFPG,2020-02,01/02/2020,35732,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle
FR_LFPG,2020-03,01/03/2020,23664,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle
FR_LFPG,2020-04,01/04/2020,4228,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle
FR_LFPG,2020-05,01/05/2020,5874,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle
FR_LFPG,2020-06,01/06/2020,9794,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle
FR_LFPG,2020-07,01/07/2020,19082,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle
FR_LFPG,2020-08,01/08/2020,22934,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle
FR_LFPG,2020-09,01/09/2020,18797,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle
FR_LFPO,2019-01,01/01/2019,17601,FR,LFPO,Francia,Aeropuerto de Paris-Orly
FR_LFPO,2019-02,01/02/2019,15776,FR,LFPO,Francia,Aeropuerto de Paris-Orly
FR_LFPO,2019-03,01/03/2019,18586,FR,LFPO,Francia,Aeropuerto de Paris-Orly
FR_LFPO,2019-04,01/04/2019,20651,FR,LFPO,Francia,Aeropuerto de Paris-Orly
FR_LFPO,2019-05,01/05/2019,20358,FR,LFPO,Francia,Aeropuerto de Paris-Orly
FR_LFPO,2019-06,01/06/2019,20760,FR,LFPO,Francia,Aeropuerto de Paris-Orly
FR_LFPO,2019-07,01/07/2019,21273,FR,LFPO,Francia,Aeropuerto de Paris-Orly
FR_LFPO,2019-08,01/08/2019,19217,FR,LFPO,Francia,Aeropuerto de Paris-Orly
FR_LFPO,2019-09,01/09/2019,18972,FR,LFPO,Francia,Aeropuerto de Paris-Orly
FR_LFPO,2020-01,01/01/2020,16680,FR,LFPO,Francia,Aeropuerto de Paris-Orly
FR_LFPO,2020-02,01/02/2020,15677,FR,LFPO,Francia,Aeropuerto de Paris-Orly
FR_LFPO,2020-03,01/03/2020,9634,FR,LFPO,Francia,Aeropuerto de Paris-Orly
FR_LFPO,2020-04,01/04/2020,188,FR,LFPO,Francia,Aeropuerto de Paris-Orly
FR_LFPO,2020-05,01/05/2020,101,FR,LFPO,Francia,Aeropuerto de Paris-Orly
FR_LFPO,2020-06,01/06/2020,471,FR,LFPO,Francia,Aeropuerto de Paris-Orly
FR_LFPO,2020-07,01/07/2020,5289,FR,LFPO,Francia,Aeropuerto de Paris-Orly
FR_LFPO,2020-08,01/08/2020,8386,FR,LFPO,Francia,Aeropuerto de Paris-Orly
FR_LFPO,2020-09,01/09/2020,9301,FR,LFPO,Francia,Aeropuerto de Paris-Orly
IT_LIRF,2019-01,01/01/2019,23027,IT,LIRF,Italia,Aeropuerto de Roma-Fiumicino
IT_LIRF,2019-02,01/02/2019,21506,IT,LIRF,Italia,Aeropuerto de Roma-Fiumicino
IT_LIRF,2019-03,01/03/2019,23974,IT,LIRF,Italia,Aeropuerto de Roma-Fiumicino
IT_LIRF,2019-04,01/04/2019,26423,IT,LIRF,Italia,Aeropuerto de Roma-Fiumicino
IT_LIRF,2019-05,01/05/2019,27338,IT,LIRF,Italia,Aeropuerto de Roma-Fiumicino
IT_LIRF,2019-06,01/06/2019,28545,IT,LIRF,Italia,Aeropuerto de Roma-Fiumicino
IT_LIRF,2019-07,01/07/2019,30023,IT,LIRF,Italia,Aeropuerto de Roma-Fiumicino
IT_LIRF,2019-08,01/08/2019,30107,IT,LIRF,Italia,Aeropuerto de Roma-Fiumicino
IT_LIRF,2019-09,01/09/2019,28124,IT,LIRF,Italia,Aeropuerto de Roma-Fiumicino
IT_LIRF,2020-01,01/01/2020,21331,IT,LIRF,Italia,Aeropuerto de Roma-Fiumicino
IT_LIRF,2020-02,01/02/2020,19404,IT,LIRF,Italia,Aeropuerto de Roma-Fiumicino
IT_LIRF,2020-03,01/03/2020,8624,IT,LIRF,Italia,Aeropuerto de Roma-Fiumicino
IT_LIRF,2020-04,01/04/2020,2409,IT,LIRF,Italia,Aeropuerto de Roma-Fiumicino
IT_LIRF,2020-05,01/05/2020,2748,IT,LIRF,Italia,Aeropuerto de Roma-Fiumicino
IT_LIRF,2020-06,01/06/2020,3565,IT,LIRF,Italia,Aeropuerto de Roma-Fiumicino
NL_EHAM,2019-01,01/01/2019,37938,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
NL_EHAM,2019-02,01/02/2019,35995,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
NL_EHAM,2019-03,01/03/2019,40659,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
NL_EHAM,2019-04,01/04/2019,42890,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
NL_EHAM,2019-05,01/05/2019,45944,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
NL_EHAM,2019-06,01/06/2019,44644,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
NL_EHAM,2019-07,01/07/2019,45874,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
NL_EHAM,2019-08,01/08/2019,46050,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
NL_EHAM,2019-09,01/09/2019,45248,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
NL_EHAM,2020-01,01/01/2020,38324,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
NL_EHAM,2020-02,01/02/2020,35830,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
NL_EHAM,2020-03,01/03/2020,25792,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
NL_EHAM,2020-04,01/04/2020,4543,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
NL_EHAM,2020-05,01/05/2020,6280,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
NL_EHAM,2020-06,01/06/2020,8763,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
NL_EHAM,2020-07,01/07/2020,16744,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
NL_EHAM,2020-08,01/08/2020,24054,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
NL_EHAM,2020-09,01/09/2020,22988,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
NL_EHAM,2020-10,01/10/2020,20229,NL,EHAM,Paises Bajos,Aeropuerto Internacional de Ámsterdam-Schiphol
UK_EGKK,2019-01,01/01/2019,19602,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2019-02,01/02/2019,19777,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2019-03,01/03/2019,22453,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2019-04,01/04/2019,23828,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2019-05,01/05/2019,25925,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2019-06,01/06/2019,26516,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2019-07,01/07/2019,27834,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2019-08,01/08/2019,28224,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2019-09,01/09/2019,26081,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2020-01,01/01/2020,18569,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2020-02,01/02/2020,19287,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2020-03,01/03/2020,15220,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2020-04,01/04/2020,225,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2020-05,01/05/2020,180,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2020-06,01/06/2020,473,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2020-07,01/07/2020,2988,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2020-08,01/08/2020,8029,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2020-09,01/09/2020,7457,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGLL,2019-01,01/01/2019,38148,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2019-02,01/02/2019,35554,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2019-03,01/03/2019,40126,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2019-04,01/04/2019,40514,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2019-05,01/05/2019,41862,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2019-06,01/06/2019,41158,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2019-07,01/07/2019,42669,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2019-08,01/08/2019,42528,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2019-09,01/09/2019,39507,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2020-01,01/01/2020,38177,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2020-02,01/02/2020,36615,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2020-03,01/03/2020,27861,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2020-04,01/04/2020,5272,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2020-05,01/05/2020,6744,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2020-06,01/06/2020,7449,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2020-07,01/07/2020,12198,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2020-08,01/08/2020,15477,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2020-09,01/09/2020,14690,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
